City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Saint-Philippe,RE,2021-12-10 02:08:38,-21.3585,55.7679,74.79,76,41,8.97
220,Necochea,AR,2021-12-10 02:09:12,-38.5473,-58.7368,63.03,48,100,14.09
221,Bonfim,BR,2021-12-10 02:09:13,3.0833,-59.95,78.37,82,99,5.46
222,Chaumont,FR,2021-12-10 02:09:13,48.1167,5.1333,37.69,81,100,17.25
223,Nelson Bay,AU,2021-12-10 02:07:29,-32.7167,152.15,77.05,35,0,4.0
224,Ganzhou,CN,2021-12-10 02:04:59,28.8184,115.4327,61.56,48,0,4.34
225,Husavik,IS,2021-12-10 02:09:14,66.0449,-17.3389,32.81,87,100,2.39
226,Souillac,MU,2021-12-10 02:09:14,-20.5167,57.5167,74.35,94,40,5.75
227,Tikrit,IQ,2021-12-10 02:09:15,34.6071,43.6782,53.38,62,0,9.31
228,Touros,BR,2021-12-10 02:07:18,-5.1989,-35.4608,81.5,79,100,14.63
229,Okha,RU,2021-12-10 02:08:33,53.5739,142.9478,26.02,88,100,7.9
230,Krasnoselkup,RU,2021-12-10 02:08:32,65.7,82.4667,-21.82,100,10,4.97
231,Tura,IN,2021-12-10 02:09:03,25.5198,90.2201,66.7,77,0,2.04
232,Tourlaville,FR,2021-12-10 02:09:16,49.6383,-1.5664,50.59,76,75,24.16
233,Luzhou,CN,2021-12-10 02:05:56,28.8724,105.4405,52.92,89,100,3.2
234,Tuktoyaktuk,CA,2021-12-10 02:08:35,69.4541,-133.0374,-7.4,97,13,7.76
235,Oda,JP,2021-12-10 02:09:17,35.1833,132.5,56.62,59,20,7.96
236,Lahij,YE,2021-12-10 02:09:18,13.1667,44.5833,66.51,83,0,4.07
237,Naze,JP,2021-12-10 02:09:18,28.3667,129.4833,66.4,46,30,1.28
238,Faya,SA,2021-12-10 02:09:19,18.3851,42.4509,43.32,17,0,4.92
239,Tocopilla,CL,2021-12-10 02:09:19,-22.092,-70.1979,65.08,74,100,0.81
240,Domoni,KM,2021-12-10 02:08:55,-12.2569,44.5319,77.97,82,100,8.03
241,Dingle,PH,2021-12-10 02:09:04,10.9995,122.6711,81.81,78,64,16.15
242,Atherton,GB,2021-12-10 02:09:20,53.5237,-2.4935,44.74,80,100,8.01
243,Sulangan,PH,2021-12-10 02:09:21,11.1373,123.7228,80.94,82,100,21.39
244,Suluktu,KG,2021-12-10 02:09:21,39.9337,69.57,29.68,18,0,8.43
245,Challapata,BO,2021-12-10 02:09:21,-18.9,-66.7667,48.06,77,86,5.93
246,Maragogi,BR,2021-12-10 02:09:22,-9.0122,-35.2225,79.34,82,84,10.09
247,Katobu,ID,2021-12-10 02:09:22,-4.9408,122.5276,86.31,65,100,7.02
248,Ust-Nera,RU,2021-12-10 02:09:22,64.5667,143.2,-25.83,98,100,3.56
249,Verkhnyaya Maksakovka,RU,2021-12-10 02:09:23,61.635,50.9674,-8.41,100,97,4.45
250,Palauig,PH,2021-12-10 02:09:23,15.435,119.9045,81.61,54,61,1.63
251,Ibra,OM,2021-12-10 02:09:23,22.6906,58.5334,56.71,50,4,1.63
252,Najran,SA,2021-12-10 02:09:24,17.4924,44.1277,49.26,33,0,0.87
253,Ostrovnoy,RU,2021-12-10 02:08:16,68.0531,39.5131,11.41,91,99,13.58
