City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Gravdal,NO,68.1214,13.5031,31.6,70,100,12.41,overcast clouds
314,Belsand,IN,26.45,85.4,62.53,52,0,5.82,clear sky
315,Novospasskoye,RU,53.1468,47.7514,31.66,83,100,8.37,overcast clouds
316,Tongren,CN,27.7172,109.1853,53.56,78,100,2.62,overcast clouds
317,Portomaggiore,IT,44.6985,11.8068,42.58,89,48,4.09,scattered clouds
318,Bhag,PK,29.0415,67.8239,57.81,29,0,2.04,clear sky
319,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,40,5.75,scattered clouds
320,Atascadero,US,35.4894,-120.6707,50.32,78,18,4.29,few clouds
321,Diapaga,BF,12.0708,1.7889,68.97,14,29,6.55,scattered clouds
322,Tamale,GH,9.4008,-0.8393,75.79,17,43,6.22,scattered clouds
323,Mackenzie,CA,55.2999,-123.1698,3.79,99,81,1.1,broken clouds
324,Sala,MA,34.0389,-6.8166,51.64,100,3,3.44,clear sky
325,Moussoro,TD,13.6408,16.4901,69.78,12,1,13.33,clear sky
326,Estelle,US,29.8458,-90.1067,74.01,87,40,8.05,mist
327,Nalut,LY,30.3333,10.85,43.83,58,0,7.05,clear sky
328,Velikiy Ustyug,RU,60.7644,46.3106,-10.35,100,18,3.47,few clouds
329,Grindavik,IS,63.8424,-22.4338,36.07,93,90,6.91,light intensity drizzle
330,Kautokeino,NO,69.0125,23.0412,1.94,100,98,0.78,overcast clouds
331,Gat,IL,31.61,34.7642,57.4,68,4,5.55,clear sky
332,Tevriz,RU,57.509,72.4042,17.44,87,94,6.64,overcast clouds
333,Zhuanghe,CN,39.7008,122.9911,42.71,79,13,5.32,few clouds
334,Biloela,AU,-24.4167,150.5,86.04,52,67,6.76,broken clouds
335,Abu Samrah,SY,35.3029,37.1841,49.68,87,3,3.04,clear sky
336,Bobo Dioulasso,BF,11.1771,-4.2979,70.38,18,34,4.63,scattered clouds
337,Chumikan,RU,54.7183,135.315,16.32,88,100,7.18,overcast clouds
338,Havelock,US,34.8791,-76.9013,48.15,79,42,2.24,scattered clouds
339,Kasempa,ZM,-13.4584,25.8338,67.12,73,85,0.6,overcast clouds
340,Kribi,CM,2.95,9.9167,78.12,89,74,4.23,broken clouds
341,Lebanon,US,36.2081,-86.2911,61.02,69,90,16.11,overcast clouds
342,Hasaki,JP,35.7333,140.8333,52.29,66,100,14.43,overcast clouds
343,Seoul,KR,37.5683,126.9778,45.84,71,100,1.86,overcast clouds
